case_id,customer_id,investigative_hypothesis,scenario_evidence,required_checks,reporting_decision,customer_action
CASE000001,C000550,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,CIRCULAR_TRANSFER: A short internal transfer cycle connected three synthetic customers.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000081,C001184,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,FUNNEL_MULE: Multiple incoming counterparties were followed by concentrated outbound movement.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000082,C001546,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,HIGH_RISK_GEOGRAPHY: Material activity involved a fictitious high-risk test jurisdiction.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000083,C000464,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,STRUCTURING: Repeated cash inflows clustered below an internal monitoring parameter.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000084,C000973,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,STRUCTURING: Repeated cash inflows clustered below an internal monitoring parameter.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000085,C001473,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,STRUCTURING: Repeated cash inflows clustered below an internal monitoring parameter.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000086,C001665,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,DORMANT_REACTIVATION: A dormant-designated account recorded material new activity.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000087,C001507,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,RAPID_MOVEMENT: Material incoming funds were followed by rapid outbound movement.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000088,C000128,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,HIGH_RISK_GEOGRAPHY: Material activity involved a fictitious high-risk test jurisdiction.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000089,C001156,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,FUNNEL_MULE: Multiple incoming counterparties were followed by concentrated outbound movement.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000090,C001518,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,RAPID_MOVEMENT: Material incoming funds were followed by rapid outbound movement.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000091,C000896,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,HIGH_RISK_GEOGRAPHY: Material activity involved a fictitious high-risk test jurisdiction.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000092,C000505,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,HIGH_RISK_GEOGRAPHY: Material activity involved a fictitious high-risk test jurisdiction.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000093,C001451,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,STRUCTURING: Repeated cash inflows clustered below an internal monitoring parameter.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000094,C000153,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,HIGH_RISK_GEOGRAPHY: Material activity involved a fictitious high-risk test jurisdiction. | DORMANT_REACTIVATION: A dormant-designated account recorded material new activity.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000095,C001169,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,STRUCTURING: Repeated cash inflows clustered below an internal monitoring parameter.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000096,C000960,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,STRUCTURING: Repeated cash inflows clustered below an internal monitoring parameter.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000097,C001700,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,RAPID_MOVEMENT: Material incoming funds were followed by rapid outbound movement.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000098,C001026,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,HIGH_RISK_GEOGRAPHY: Material activity involved a fictitious high-risk test jurisdiction. | DORMANT_REACTIVATION: A dormant-designated account recorded material new activity.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000099,C000621,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,HIGH_RISK_GEOGRAPHY: Material activity involved a fictitious high-risk test jurisdiction.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000100,C001529,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,RAPID_MOVEMENT: Material incoming funds were followed by rapid outbound movement.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000101,C001017,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,HIGH_RISK_GEOGRAPHY: Material activity involved a fictitious high-risk test jurisdiction.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000102,C000589,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,HIGH_RISK_GEOGRAPHY: Material activity involved a fictitious high-risk test jurisdiction.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000103,C000956,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,DORMANT_REACTIVATION: A dormant-designated account recorded material new activity.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000104,C001446,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,DORMANT_REACTIVATION: A dormant-designated account recorded material new activity.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000105,C001424,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,STRUCTURING: Repeated cash inflows clustered below an internal monitoring parameter.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000106,C000150,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,HIGH_RISK_GEOGRAPHY: Material activity involved a fictitious high-risk test jurisdiction.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000107,C000059,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,STRUCTURING: Repeated cash inflows clustered below an internal monitoring parameter.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000108,C001712,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,STRUCTURING: Repeated cash inflows clustered below an internal monitoring parameter.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000109,C000362,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,STRUCTURING: Repeated cash inflows clustered below an internal monitoring parameter.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000110,C001111,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,RAPID_MOVEMENT: Material incoming funds were followed by rapid outbound movement.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000111,C000910,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,STRUCTURING: Repeated cash inflows clustered below an internal monitoring parameter.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000112,C000302,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,STRUCTURING: Repeated cash inflows clustered below an internal monitoring parameter.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000113,C000839,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,STRUCTURING: Repeated cash inflows clustered below an internal monitoring parameter.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000114,C001151,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,DORMANT_REACTIVATION: A dormant-designated account recorded material new activity.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000115,C000716,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,STRUCTURING: Repeated cash inflows clustered below an internal monitoring parameter.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000116,C000811,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,STRUCTURING: Repeated cash inflows clustered below an internal monitoring parameter.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000117,C001575,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,STRUCTURING: Repeated cash inflows clustered below an internal monitoring parameter.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000118,C000156,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,DORMANT_REACTIVATION: A dormant-designated account recorded material new activity.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000119,C000579,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,STRUCTURING: Repeated cash inflows clustered below an internal monitoring parameter.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000120,C001774,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,STRUCTURING: Repeated cash inflows clustered below an internal monitoring parameter.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000121,C001412,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,STRUCTURING: Repeated cash inflows clustered below an internal monitoring parameter.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000122,C001704,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,DORMANT_REACTIVATION: A dormant-designated account recorded material new activity.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000123,C000756,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,DORMANT_REACTIVATION: A dormant-designated account recorded material new activity.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000124,C001535,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,DORMANT_REACTIVATION: A dormant-designated account recorded material new activity.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000125,C000097,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,DORMANT_REACTIVATION: A dormant-designated account recorded material new activity.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
CASE000126,C000922,Review whether observed behaviour is consistent with the customer's stated profile; the alert is not a conclusion.,DORMANT_REACTIVATION: A dormant-designated account recorded material new activity.,KYC refresh; source-of-funds review; counterparty context; transaction chronology; open-source and screening checks under approved procedures,NOT_MADE__MLRO_HUMAN_DECISION_REQUIRED,NONE_AUTOMATED
